trial,objective,episodes,env_steps,wall_s,params
41,398.467,3,13500,201.6,"{""werr"": [848.4928863283986, 1791.2685134185922, 12.280415262455987, 114.3782663711834, 46.849013760006834, 0.12550463720725757, 34.983335939697604, 29.26609328664616, 386.0510833015433, 2.11854565659877, 14.448567361523338, 2.7942724099675593], ""wu"": [0.00542920054495168]}"
42,400.549,3,13500,201.8,"{""werr"": [1540.878569412536, 519.2366221476137, 9.823961016098353, 14.961948307492042, 124.40846294748924, 0.3010193133242334, 146.46501464344712, 64.48278235447813, 590.9840156786317, 2.3307191267913048, 2.8339861829920316, 0.41080771374769126], ""wu"": [0.00726154433617726]}"
43,209728,3,13500,200.6,"{""werr"": [3807.988236784841, 0.11015952950571606, 33.9235349654357, 598.4401687933898, 645.4783852156187, 0.11030198571571939, 0.5000734980486574, 36.87796269398716, 1614.281241436946, 3.9905159240171053, 54.558332128901235, 3.3371366002733076], ""wu"": [0.005119713838937168]}"
44,745.846,3,13500,200.3,"{""werr"": [394.4025513293924, 2504.369992933696, 4.6554820892100865, 297.5086437864378, 19.56914806879466, 0.4107861287261781, 2.582954542991723, 0.605357101095593, 105.5618309224514, 13.935374295188646, 11.592661255675107, 0.8080666751230267], ""wu"": [0.011095240612892495]}"
45,9254.69,3,13500,200.2,"{""werr"": [597.7326524294386, 1039.2555720171213, 7.5300777078904595, 145.83539685028228, 69.04096896821856, 1.0190775696292704, 98.90793439974189, 11.71344268923567, 1.898288996696141, 1.0804887636685143, 4.631203424700447, 18.16731868342134], ""wu"": [0.033417887844138267]}"
46,1471.28,3,13500,200.5,"{""werr"": [907.20894575465, 70.95377161167129, 16.79129599291332, 51.49167454455069, 34.20826807550126, 81.2936222280646, 10.940572752179609, 59.23336166585992, 225.1016607074364, 0.6688120690178951, 1.3150069263739677, 4.473683298927433], ""wu"": [0.05382903123924916]}"
47,311.843,3,13500,201.4,"{""werr"": [191.1799766210522, 168.84403332376664, 424.3315872708759, 6.617328273699503, 10.272975842096423, 0.16978065887369656, 2012.7404888762435, 584.621834724701, 35.56526375197605, 2.3294739548555223, 0.37216883982082616, 0.1477762852312577], ""wu"": [0.013997390746673392]}"
48,308.024,3,13500,201.6,"{""werr"": [156.77377564074584, 317.4850434500806, 412.45097315121717, 9.677630553429395, 1.8242670947594215, 1.9405281242833021, 1795.3951149923728, 621.0852392824515, 45.582064183452864, 0.1847146350835095, 0.3088009491185808, 0.11859584494998854], ""wu"": [0.015645915686538867]}"
49,691.989,3,13500,201.6,"{""werr"": [13.82502392288764, 322.23023683661376, 419.08008927950857, 1.0050017814943693, 0.4681917019283335, 2.3646215660479153, 1936.7536354663657, 4695.019884799935, 35.24205131032689, 0.18161084156673168, 0.23489652843613373, 0.11967317264018257], ""wu"": [0.016845177798811315]}"
50,457.977,3,13500,201.2,"{""werr"": [81.33803580781598, 163.60440858854054, 176.31278706246263, 7.584295049115742, 3.250697898983641, 9.69737504460157, 704.1812144496909, 1160.274221133944, 6.080461027356309, 0.3447131444970272, 0.2782924439224985, 0.25247541320492367], ""wu"": [0.03134768304249264]}"
