trial,objective,episodes,env_steps,wall_s,params
15,10664.4,1,4500,60.4,"{""werr"": [4.932241509324298, 24.20603371217695, 122.08972050455249, 2.4446073766853016, 72.03535711046403, 36.40469721898358, 3.2624632336600077, 17.842803587932462, 97.15298541861718, 1.4284397484805669, 14.479340368762424, 443.70283679757534], ""wu"": [0.04692061844941862]}"
16,38198.8,1,4500,60.3,"{""werr"": [54.02720047397174, 755.0552380130972, 2.573260192959741, 2.3677169947176364, 4570.221031498641, 3446.61971474443, 0.10835848864518177, 924.3283350795283, 1291.0246802488302, 695.9503836155503, 914.9687541971916, 6.597595145606194], ""wu"": [0.9837137602060689]}"
17,26622.7,1,4500,61.0,"{""werr"": [516.1736169763348, 35.25661645451638, 780.0651511654659, 66.34047576971783, 1.1152473231829738, 60.715273661663645, 47.45884342469987, 96.85183502457123, 156.215224363428, 7.510183599043918, 21.54904536481947, 364.74225210752707], ""wu"": [0.17924683234996158]}"
18,78427.8,1,4500,60.4,"{""werr"": [3.742821519204127, 656.143814416562, 63.21546010005822, 635.9129065744069, 24.34165178253294, 3.796166767141597, 0.5619907713989288, 5.999499272596685, 2142.9310522179658, 57.742626590167404, 1468.5810380137127, 1.6243723724285366], ""wu"": [1.3588720651002262]}"
19,23609.5,5,4500,60.2,"{""werr"": [24.69524311376954, 2.4669997253790714, 2.400890614456477, 3.0421968421161827, 238.66382928515233, 2.287268720436145, 3.7848304676623825, 0.1803947205201035, 4.535265873716473, 0.5935484085270298, 143.501473884644, 15.14634538254664], ""wu"": [0.26291200396521053]}"
20,154.51,1,4500,60.6,"{""werr"": [531.0385945092993, 80.95898317839027, 586.6444897391799, 496.2377315047421, 4.4638549943485275, 0.4999307415281012, 490.88481446981194, 1186.6254871811411, 221.95858708498722, 5.5481872300728465, 0.696799774123874, 186.4326192723036], ""wu"": [0.006170695846892357]}"
21,22793.1,1,4500,60.6,"{""werr"": [404.66421935096537, 1.1149375989693435, 2793.4119360499794, 4635.843473290593, 3.4641748809395825, 0.1394502685784719, 4196.263654330857, 546.3606229672864, 23.535916608681887, 291.64563817449203, 0.44992734456568206, 2118.30358388483], ""wu"": [0.005144864149685146]}"
22,917.11,1,4500,61.1,"{""werr"": [645.6902309542106, 60.19937359323996, 466.32782161462274, 391.26766152249974, 0.5829491046385763, 0.5052363725181007, 604.6687364620523, 1476.725508374781, 253.0792818003373, 6.388157739630038, 0.9676009391871135, 103.49528617929988], ""wu"": [0.036256767094200414]}"
23,289.616,1,4500,60.7,"{""werr"": [555.3173757093188, 54.68926084573445, 441.5713335994296, 493.350140616361, 0.7231988323675568, 0.4262328396322411, 499.7257419471511, 1507.1797041140685, 382.6876034973971, 33.31260274173064, 1.0269917070568133, 277.09494999559644], ""wu"": [0.006810419462363545]}"
24,494.336,1,4500,60.7,"{""werr"": [707.171876954847, 46.55871104280208, 731.2403343203364, 639.459223981196, 0.5427449398446005, 0.6712089386800748, 603.009102913918, 222.54211601177167, 250.07728231405716, 39.57466476591826, 1.0120745447983706, 167.9608120863547], ""wu"": [0.005178568071004866]}"
25,737.413,1,4500,60.8,"{""werr"": [1198.0743974208397, 12.808707437174773, 1431.163861781322, 1264.3294821383868, 0.5945756839802238, 0.5096053206907658, 425.9878504434823, 98.03810241842795, 35.29241052278755, 35.02664187172721, 1.0682749551800916, 216.13091916700952], ""wu"": [0.005505385484704404]}"
26,3527.96,1,4500,61.6,"{""werr"": [340.80749268383823, 71.00609026747438, 301.12136598129257, 341.5511424176712, 0.5080421904346201, 0.4868563351571304, 3168.814527509107, 197.9480945447414, 282.3214328348492, 330.4261718483529, 1.820910937045314, 1978.7025102299992], ""wu"": [0.009958654222301641]}"
27,1298.79,1,4500,60.8,"{""werr"": [1101.9457379749717, 13.668151959482762, 1627.106550766993, 2920.988247798515, 3.336591838059718, 0.7430814095711057, 381.63105818075894, 447.8847967135871, 8.493511989649727, 146.59587438122455, 0.3319366993837322, 1038.780963466227], ""wu"": [0.010605713285905746]}"
28,6216.21,1,4500,60.2,"{""werr"": [98.2119479962302, 9.690380222765604, 889.7753282755488, 1438.820856348307, 1.0634018262727583, 0.23010775978214182, 1023.2087197432865, 12.503177561809375, 64.96123819382971, 30.218004926883683, 2.751290358214866, 197.41767850102022], ""wu"": [0.018946774746886084]}"
29,148.462,1,4500,60.4,"{""werr"": [4948.490273001495, 47.10336520442978, 4278.075570184063, 393.38570298701364, 0.11889640225432405, 3.5977413937038123, 274.8447115379448, 131.62373012091695, 1157.545269352665, 1159.7288131855876, 0.3914707286956894, 178.25343297234554], ""wu"": [0.007470481472409578]}"
30,106.812,1,4500,60.7,"{""werr"": [3318.4983966246077, 450.1440629318719, 4390.8294816371335, 149.14048150375598, 0.12899532178598463, 3.938237202172129, 46.92369140156099, 2256.695558288, 1108.0325377403715, 1951.762022751684, 0.3310463721109595, 793.8572403650412], ""wu"": [0.01905678067973016]}"
31,301.148,1,4500,61.5,"{""werr"": [4842.092742234949, 487.2993677535186, 3848.0801397039727, 153.20205416618683, 0.11565760645997147, 5.351162240745784, 42.61080098876134, 697.0184653613951, 1139.7940177125404, 4106.635448457858, 0.309266461547379, 0.105076306102443], ""wu"": [0.019736719390554235]}"
32,31183.9,1,4500,60.0,"{""werr"": [2173.3205626477743, 120.34288147672976, 4843.45373754888, 308.9297793615301, 0.13566092370701685, 1.5543384409697343, 199.72630845700087, 2325.1055904285795, 1204.950663534664, 1327.1417284278434, 0.5883999866643715, 1155.952104489866], ""wu"": [0.007547988639678073]}"
