trial,objective,episodes,env_steps,wall_s,params
58,501.818,1,4500,61.9,"{""lr"": [0.0014944292408296553], ""kernel_std"": [0.3353252306489459]}"
59,3.57226,1,4500,60.0,"{""lr"": [0.006133484278031878], ""kernel_std"": [4.229478748186967]}"
60,199.122,1,4500,60.6,"{""lr"": [0.005412241853030918], ""kernel_std"": [4.247346889659835]}"
61,31016.1,1,4500,60.0,"{""lr"": [0.007872371019997586], ""kernel_std"": [5.925065409582979]}"
62,12031.1,1,4500,61.3,"{""lr"": [0.0026730823995743044], ""kernel_std"": [3.487911662302594]}"
63,17164.7,1,4500,60.8,"{""lr"": [0.010993434974418086], ""kernel_std"": [5.005497100766768]}"
64,7968.02,1,4500,59.9,"{""lr"": [0.003766283356150159], ""kernel_std"": [6.837305452078222]}"
65,57.7214,1,4500,60.0,"{""lr"": [0.0686285876996489], ""kernel_std"": [3.9345443718377946]}"
66,18.7015,1,4500,61.3,"{""lr"": [0.0005762738706450697], ""kernel_std"": [2.8075025060444188]}"
67,253.164,1,4500,60.9,"{""lr"": [0.006513390349904633], ""kernel_std"": [2.581866408275071]}"
68,27977.7,1,4500,59.8,"{""lr"": [0.018983952066920766], ""kernel_std"": [3.125158912924946]}"
69,11574.5,1,4500,61.4,"{""lr"": [0.0010640400703831791], ""kernel_std"": [1.5912145735728869]}"
70,31222.4,1,4500,61.0,"{""lr"": [0.0005815057025690651], ""kernel_std"": [1.6872045922295045]}"
71,16766.9,1,4500,61.4,"{""lr"": [0.00039350229462008625], ""kernel_std"": [4.7349589136426555]}"
72,22.9789,1,4500,61.5,"{""lr"": [0.0002828667430128302], ""kernel_std"": [7.540033927399503]}"
73,19500.5,1,4500,61.0,"{""lr"": [0.000308383421732805], ""kernel_std"": [2.766592657087436]}"
74,6.56575,1,4500,60.5,"{""lr"": [0.0006544587200147386], ""kernel_std"": [5.8510885793073335]}"
75,2390.81,1,4500,63.0,"{""lr"": [0.0006222564808477861], ""kernel_std"": [3.5167052238203995]}"
76,971.615,1,4500,61.8,"{""lr"": [0.0013391256896235996], ""kernel_std"": [2.2496149217059407]}"
77,255.468,1,4500,60.7,"{""lr"": [0.0020351770076169097], ""kernel_std"": [5.784483010087575]}"
78,10.1763,1,4500,61.4,"{""lr"": [0.000867497408540512], ""kernel_std"": [4.1924391485162396]}"
79,3477.8,1,4500,61.2,"{""lr"": [0.0007617180395238796], ""kernel_std"": [4.282946777862476]}"
80,10.874,1,4500,60.2,"{""lr"": [0.010532237990487707], ""kernel_std"": [2.903767575324549]}"
81,5020.64,1,4500,60.4,"{""lr"": [0.01087358657504248], ""kernel_std"": [0.10206604333394362]}"
82,24768.9,1,4500,59.9,"{""lr"": [0.030584101695247706], ""kernel_std"": [2.8968083715774755]}"
83,1557.4,1,4500,60.6,"{""lr"": [0.0031888208757927705], ""kernel_std"": [2.50080204738307]}"
84,2725.05,1,4500,60.4,"{""lr"": [0.014016827058414371], ""kernel_std"": [3.4096597046987935]}"
85,35462,1,4500,60.5,"{""lr"": [0.00048444069064462216], ""kernel_std"": [5.023693395307197]}"
86,92.5054,1,4500,60.3,"{""lr"": [0.004441739173645571], ""kernel_std"": [2.0460398538341704]}"
87,34444.2,1,4500,60.3,"{""lr"": [0.00853169222849677], ""kernel_std"": [3.871420217052298]}"
88,92.9959,1,4500,60.0,"{""lr"": [0.006337589215115659], ""kernel_std"": [6.311730152999475]}"
89,5252.5,1,4500,61.2,"{""lr"": [0.0009690532844323173], ""kernel_std"": [1.819405437540985]}"
90,112.625,1,4500,60.2,"{""lr"": [0.02005416908188268], ""kernel_std"": [1.2531166446618744]}"
91,16984.1,1,4500,62.0,"{""lr"": [0.00039134106695401234], ""kernel_std"": [8.971891430106652]}"
92,13234,1,4500,60.7,"{""lr"": [0.016562681731467466], ""kernel_std"": [4.564281598981947]}"
93,48.9402,1,4500,61.4,"{""lr"": [0.0007116587764334073], ""kernel_std"": [6.7512447152074575]}"
94,19928.4,1,4500,61.0,"{""lr"": [0.010156257200645396], ""kernel_std"": [5.470699294485816]}"
95,1092.85,1,4500,60.5,"{""lr"": [0.000506912709955973], ""kernel_std"": [4.15594784559849]}"
96,83.9599,1,4500,60.0,"{""lr"": [0.03409237308243648], ""kernel_std"": [6.096028925771712]}"
97,468.259,1,4500,61.0,"{""lr"": [0.004802711172971714], ""kernel_std"": [5.071158149736278]}"
98,13680.4,1,4500,60.1,"{""lr"": [0.024506061758094493], ""kernel_std"": [2.8044743739585583]}"
99,25372.4,1,4500,61.7,"{""lr"": [0.0021359614857684285], ""kernel_std"": [7.271394310616718]}"
22,6.7428,2,9000,121.4,"{""lr"": [0.0004178998335832172], ""kernel_std"": [4.807252567767776]}"
59,68698.2,2,9000,120.2,"{""lr"": [0.006133484278031878], ""kernel_std"": [4.229478748186967]}"
47,18.167,2,9000,120.5,"{""lr"": [0.012446532668519908], ""kernel_std"": [8.155724128280267]}"
