method,cond,metric,mean,sd,n_trials,values
rc_naive,dr50,tilt_heave_deg,11.9193,7.20305,3,7.01956;8.54864;20.1897
rc_naive,dr50,tilt_sway_deg,12.0159,7.63158,3,6.94335;8.31171;20.7926
rc_naive,dr50,crab_deg,2.5532,2.41922,3,0.914668;1.41314;5.33181
rc_naive,dr50,s_hat_err_cm,0,0,3,0;0;0
rc_naive,dr50,heave_speed_mps,0.199587,0.00100366,3,0.200116;0.200215;0.198429
rc_naive,dr50,sway_speed_mps,0.100131,0.000591871,3,0.100377;0.100561;0.099456
rc_naive,dr50,terminations.collided,0,0,3,0;0;0
rc_naive,dr50,controller_cost.solve_ms_mean,8.21361,1.4094,3,7.18366;7.63734;9.81983
rc_naive,dr50,controller_cost.fail_frac,0,0,3,0;0;0
rc_naive,dr50,controller_cost.saturated_frac,0.157778,0.203417,3,0.0465556;0.0342222;0.392556
rc_naive,dr75,cycles_mean,2,0,3,2;2;2
rc_naive,dr75,wall_dist_err_cm,15.1647,2.80188,3,12.2477;15.4112;17.8352
rc_naive,dr75,tilt_heave_deg,11.9379,7.19772,3,7.08999;8.51543;20.2083
rc_naive,dr75,tilt_sway_deg,12.0209,7.64094,3,6.95057;8.3028;20.8093
rc_naive,dr75,crab_deg,2.42592,2.27078,3,1.03241;1.19914;5.04622
rc_naive,dr75,s_hat_err_cm,0,0,3,0;0;0
rc_naive,dr75,heave_speed_mps,0.199565,0.000905912,3,0.199984;0.200186;0.198526
rc_naive,dr75,sway_speed_mps,0.0999857,0.000408894,3,0.0999555;0.100409;0.0995927
rc_naive,dr75,terminations.collided,0,0,3,0;0;0
rc_naive,dr75,controller_cost.solve_ms_mean,8.03399,1.07492,3,7.51402;7.31792;9.27003
rc_naive,dr75,controller_cost.fail_frac,0,0,3,0;0;0
rc_naive,dr75,controller_cost.saturated_frac,0.305296,0.240668,3,0.492333;0.0337778;0.389778
