method,cond,metric,mean,sd,n_trials,values
rc,dr25,cycles_mean,2,0,3,2;2;2
rc,dr25,wall_dist_err_cm,14.553,2.34859,3,11.8411;15.8929;15.9249
rc,dr25,tilt_heave_deg,11.891,7.23279,3,7.04133;8.42733;20.2042
rc,dr25,tilt_sway_deg,11.9694,7.65687,3,6.92453;8.20375;20.7799
rc,dr25,crab_deg,2.10701,1.71162,3,0.563033;1.81048;3.94752
rc,dr25,s_hat_err_cm,0,0,3,0;0;0
rc,dr25,heave_speed_mps,0.200199,2.24067e-05,3,0.200183;0.200224;0.200189
rc,dr25,sway_speed_mps,0.100155,0.000457154,3,0.100337;0.100493;0.0996347
rc,dr25,terminations.collided,0,0,3,0;0;0
rc,dr25,controller_cost.solve_ms_mean,7.18716,0.43341,3,6.72734;7.24598;7.58815
rc,dr25,controller_cost.fail_frac,0,0,3,0;0;0
rc,dr25,controller_cost.saturated_frac,0.149926,0.204547,3,0.0304444;0.0332222;0.386111
rc,dr50,cycles_mean,2,0,3,2;2;2
rc,dr50,wall_dist_err_cm,14.2133,1.91972,3,12.021;15.5934;15.0256
rc,dr50,tilt_heave_deg,11.9141,7.27078,3,7.03099;8.4413;20.2701
rc,dr50,tilt_sway_deg,11.971,7.6873,3,6.92206;8.1729;20.8181
rc,dr50,crab_deg,1.88989,1.41516,3,0.68725;1.53312;3.44929
rc,dr50,s_hat_err_cm,0,0,3,0;0;0
rc,dr50,heave_speed_mps,0.200215,4.22918e-05,3,0.200175;0.20021;0.20026
rc,dr50,sway_speed_mps,0.10021,0.00031737,3,0.100318;0.100459;0.0998525
rc,dr50,terminations.collided,0,0,3,0;0;0
rc,dr50,controller_cost.solve_ms_mean,7.36267,0.182747,3,7.23037;7.28646;7.57119
rc,dr50,controller_cost.fail_frac,0,0,3,0;0;0
rc,dr50,controller_cost.saturated_frac,0.157037,0.197099,3,0.0512222;0.0354444;0.384444
rc,dr75,cycles_mean,2,0,3,2;2;2
rc,dr75,wall_dist_err_cm,13.9342,1.76006,3,11.9901;15.4192;14.3932
rc,dr75,tilt_heave_deg,11.945,7.2743,3,7.08935;8.43724;20.3086
rc,dr75,tilt_sway_deg,11.993,7.7069,3,6.92718;8.18963;20.8623
rc,dr75,crab_deg,1.67068,1.38357,3,0.620799;1.15275;3.23849
rc,dr75,s_hat_err_cm,0,0,3,0;0;0
rc,dr75,heave_speed_mps,0.200191,0.000124882,3,0.200068;0.200187;0.200317
rc,dr75,sway_speed_mps,0.100135,0.000177321,3,0.100028;0.10034;0.100038
rc,dr75,terminations.collided,0,0,3,0;0;0
rc,dr75,controller_cost.solve_ms_mean,7.44539,0.179855,3,7.6421;7.4047;7.28937
rc,dr75,controller_cost.fail_frac,0,0,3,0;0;0
rc,dr75,controller_cost.saturated_frac,0.30237,0.238264,3,0.492222;0.035;0.379889
rc_naive,dr25,cycles_mean,2,0,3,2;2;2
rc_naive,dr25,wall_dist_err_cm,15.9154,3.63626,3,12.4995;15.5087;19.7379
rc_naive,dr25,tilt_heave_deg,11.8799,7.21199,3,6.99836;8.47762;20.1637
rc_naive,dr25,tilt_sway_deg,12.0149,7.62377,3,6.94115;8.32161;20.7819
rc_naive,dr25,crab_deg,2.65126,2.42468,3,1.13982;1.36597;5.44799
rc_naive,dr25,s_hat_err_cm,0,0,3,0;0;0
rc_naive,dr25,heave_speed_mps,0.199565,0.00107912,3,0.200143;0.200232;0.19832
rc_naive,dr25,sway_speed_mps,0.100034,0.000729972,3,0.100414;0.100495;0.0991922
rc_naive,dr25,terminations.collided,0,0,3,0;0;0
rc_naive,dr25,controller_cost.solve_ms_mean,8.15416,1.60113,3,7.08955;7.37743;9.9955
rc_naive,dr25,controller_cost.fail_frac,0,0,3,0;0;0
rc_naive,dr25,controller_cost.saturated_frac,0.151333,0.210695,3,0.0247778;0.0346667;0.394556
rc_naive,dr50,cycles_mean,2,0,3,2;2;2
rc_naive,dr50,wall_dist_err_cm,15.5178,3.34734,3,12.1847;15.4895;18.8792
