method,cond,metric,mean,sd,n_trials,values
bo,dr25,score.objective,3475.64,2043.96,3,1448.9;3441.62;5536.39
bo,dr25,cycles_mean,2,0,3,2;2;2
bo,dr50,score.objective,3479.46,1986.05,3,1496.5;3473.32;5468.58
bo,dr50,cycles_mean,2,0,3,2;2;2
bo,dr75,score.objective,3447.56,1952.49,3,1498.65;3440.42;5403.6
bo,dr75,cycles_mean,2,0,3,2;2;2
diff,dr25,score.objective,2890.53,1557.54,3,1201.55;3199.85;4270.2
diff,dr25,cycles_mean,2,0,3,2;2;2
diff,dr50,score.objective,2822.36,1435.73,3,1236.53;3196.77;4033.79
diff,dr50,cycles_mean,2,0,3,2;2;2
diff,dr75,score.objective,2788.85,1331.41,3,1295.2;3220.34;3851
diff,dr75,cycles_mean,2,0,3,2;2;2
nominal,dr25,score.objective,4234.04,1321.99,3,2994.54;4082.17;5625.41
nominal,dr25,cycles_mean,2,0,3,2;2;2
nominal,dr50,score.objective,4246.2,1117.12,3,3218.74;4084.51;5435.35
nominal,dr50,cycles_mean,2,0,3,2;2;2
nominal,dr75,score.objective,4291.04,913.404,3,3471.42;4125.97;5275.72
nominal,dr75,cycles_mean,2,0,3,2;2;2
ppo,dr25,score.objective,inf,nan,3,300231;inf;407668
ppo,dr25,cycles_mean,1.82738,0.189263,3,2;1.85714;1.625
ppo,dr50,score.objective,inf,nan,3,300255;inf;419489
ppo,dr50,cycles_mean,1.82738,0.189263,3,2;1.85714;1.625
ppo,dr75,score.objective,inf,nan,3,300569;inf;450488
ppo,dr75,cycles_mean,1.82738,0.189263,3,2;1.85714;1.625
ssi,dr25,score.objective,3400.21,2071.73,3,1324.39;3408.41;5467.82
ssi,dr25,cycles_mean,2,0,3,2;2;2
ssi,dr50,score.objective,3464.32,2146.84,3,1352.26;3396.37;5644.33
ssi,dr50,cycles_mean,2,0,3,2;2;2
ssi,dr75,score.objective,3388.13,2025.04,3,1354.28;3405.87;5404.24
ssi,dr75,cycles_mean,2,0,3,2;2;2
